,Date,Content,Section
258,2012-02-10,Crossword blog: three-dimensional cryptic crosswords,crosswords
259,2012-02-06,Gordius gets political,crosswords
260,2012-02-06,Crossword roundup: Y'all can't make an omelet without gegs,crosswords
261,2012-02-02,Crossword blog: meet the setter - Arachne,crosswords
262,2012-01-30,Crossword roundup: Slainte and lechayim,crosswords
263,2012-01-20,"Annotated solutions for Prize 25,532",crosswords
264,2012-01-12,Crossword blog: Not bad meaning bad but bad meaning good,crosswords
265,2012-01-05,Crossword blog: Meet the setter - Boatman,crosswords
266,2012-01-04,"Annotated solutions for Prize 25,514",crosswords
267,2012-01-03,Crossword roundup: What? The Dickens?,crosswords
268,2013-12-22,"Azed slip No 2,165",crosswords
269,2013-12-20,100 years of crosswords: the first appeared in New York on 21.12.1913,crosswords
270,2013-12-18,Are cryptic crosswords too rude for Americans?,crosswords
271,2013-12-17,"Can you solve the first Guardian crossword? Archive, 5 January 1929",crosswords
272,2013-12-16,Crossword blog: the crossword centenary,crosswords
273,2013-12-09,"Letter: 'We were 12 fairly cynical young singers, but John Graham won us over'",crosswords
274,2013-12-09,Crossword roundup: Topical twerking,crosswords
275,2013-12-04,"Goodbye, Araucaria",crosswords
276,2013-11-29,"Goodbye, Araucaria, and thank you | @guardianletters",crosswords
277,2013-11-27,My friend Araucaria | @guardianletters,crosswords
278,2013-11-27,Crossword blog: The A to Z of Araucaria,crosswords
279,2013-11-26,Araucaria's last puzzle: crossword master dies,crosswords
280,2013-11-26,Araucaria: 'He never dumbed down',crosswords
281,2013-11-26,"Rev John Graham, aka crossword setter Araucaria, dies aged 92",crosswords
282,2013-11-26,Araucaria the crossword master: share your favourite clues,crosswords
283,2013-11-25,Crossword roundup: John and Jane,crosswords
284,2013-11-18,"Cryptic crosswords for beginners: me, myself and I",crosswords
285,2013-11-11,Crossword roundup: What's it like to star in a clue?,crosswords
286,2013-11-05,Small step or quantum leap,crosswords
287,2013-11-04,Crossword blog: Paul at the Hall,crosswords
288,2013-11-04,"Everyman crossword No 3,500",crosswords
289,2013-11-01,"Azed slip No 2,157",crosswords
290,2013-10-28,Crosswords A-Z,crosswords
291,2013-10-28,"Crossword roundup: Lisa, Ada and Lou too",crosswords
292,2013-10-21,Crossword blog: Times championship new record,crosswords
293,2013-10-14,Crossword roundup: postmodern Pulpisms,crosswords
294,2013-10-10,Monkey business,crosswords
295,2013-10-07,Crossword blog: what have we learned about ourselves?,crosswords
296,2013-10-07,Annotated solutions for Genius 123,crosswords
297,2013-10-07,"Azed crossword 2,157",crosswords
298,2013-09-23,"Crossword blog: are super-solvers born, not made?",crosswords
299,2013-09-23,"Azed slip No 2,152",crosswords
300,2013-09-16,Crossword roundup: the fraggles and the muppets,crosswords
301,2013-09-10,"Prize crossword No 26,047",crosswords
302,2013-09-09,Crossword blog: the Hungarian crossword suicide note,crosswords
303,2013-09-06,"Prize crossword No 26,047",crosswords
304,2013-09-03,Literal truths,crosswords
305,2013-09-02,Crossword roundup: little black squares and little white squares,crosswords
306,2013-08-24,"Azed slip No 2,148",crosswords
307,2013-08-12,Crossword blog: Meet the setter – Dac,crosswords
308,2013-08-06,American English: the new lingua franca,crosswords
309,2013-08-05,"Crossword roundup: when life gives you lemons, make alcopops",crosswords
310,2013-07-27,"Azed slip No 2,144",crosswords
311,2013-07-25,Crossword blog: How shall we celebrate the crossword centenary?,crosswords
312,2013-07-22,Crossword roundup: feline movie,crosswords
313,2013-07-18,Crossword blog: the Times crossword championship,crosswords
314,2013-07-17,"Cryptic crossword No 26,003 - please download PDF version of today's crossword",crosswords
315,2013-07-15,Crossword roundup: did you hear the one about the absurdist playwright?,crosswords
316,2013-07-14,"Azed crossword 2,145",crosswords
317,2013-07-11,Crossword blog: meet the setter – Doc,crosswords
318,2013-07-08,Crossword roundup: Bernie 'Ponzarelli' Madoff,crosswords
319,2013-07-04,"Crossword blog: pencils, pens and unique solutions",crosswords
320,2013-07-03,Are we too spell-bound?,crosswords
321,2013-07-01,"Azed slip No 2,139",crosswords
322,2013-07-01,Crossword roundup: Bye-bye to Banks,crosswords
323,2013-06-27,How the Spectator crossword began,crosswords
324,2013-06-24,Crossword roundup: clue become one,crosswords
325,2013-06-20,Crossword blog: the thousandth Telegraph Toughie,crosswords
326,2013-06-17,Crossword roundup: first-world words,crosswords
327,2013-06-13,Crossword blog: meet the setter - Otterden,crosswords
328,2013-06-10,Crossword roundup: cryptics and decryption,crosswords
329,2013-06-06,Crossword blog: The short film Crosswords,crosswords
330,2013-06-04,Spelling (and other) mistakes,crosswords
331,2013-06-03,Crossword roundup: talking about walking,crosswords
332,2013-05-30,Crossword blog: our answers to PG Wodehouse's fishy cryptic clues,crosswords
333,2013-05-27,"Azed slip No 2,131",crosswords
334,2013-05-27,Crossword roundup: get cape wear cape solve,crosswords
335,2013-05-27,Why I love the Guardian’s crosswords | Thomas Keneally,crosswords
336,2013-05-23,Crossword blog: Don Manley's 50th crossword birthday,crosswords
337,2013-05-20,"Crossword roundup: apes do it, bats do it …",crosswords
338,2013-05-16,Crossword blog: PG Wodehouse and the missing cryptic clues,crosswords
339,2013-05-15,"Cryptic crossword No 25,949",crosswords
340,2013-05-13,Crossword roundup: cigarettes and alcohol,crosswords
341,2013-05-09,Crossword blog: help solve the missing Wodehouse clues – bonus edition,crosswords
342,2013-05-07,Thums up for themes,crosswords
343,2013-05-07,Crossword roundup: You're retiring early,crosswords
344,2013-04-25,Crossword blog: help solve the missing Wodehouse clues no 6,crosswords
345,2013-04-22,"Crossword roundup: feebs, dweebs, geeks and freaks",crosswords
346,2013-04-18,Crossword blog: help solve the missing Wodehouse clues no 5,crosswords
347,2013-04-15,Crossword roundup: True blue clues,crosswords
348,2013-04-11,Crossword blog: do you have to be clever to solve cryptics?,crosswords
349,2013-04-08,Crossword roundup: to catch a lion,crosswords
350,2013-04-04,Crossword blog: The Crossword Centenary roadshow,crosswords
351,2013-04-02,Crossword roundup: April fools' clues,crosswords
352,2013-04-01,Down the years,crosswords
353,2013-03-30,"Prize crossword No 25,909",crosswords
354,2013-03-28,Crossword blog: help solve the missing Wodehouse clues no 4,crosswords
355,2013-03-25,"Azed slip No 2,126",crosswords
356,2013-03-25,Crossword roundup: Creme franglais,crosswords
357,2013-03-21,Crossword blog: Boatman teaches the secrets of setting,crosswords
358,2013-03-18,Crossword roundup: hoovering up the aspirins,crosswords
359,2013-03-14,Crossword blog: help solve the missing Wodehouse clues no 3,crosswords
360,2013-03-11,Crossword roundup: Hidden horses and flying pigs,crosswords
361,2013-03-07,Crossword blog: help solve the missing Wodehouse clues no 2,crosswords
362,2013-03-05,Wynne's winner,crosswords
363,2013-03-04,"Crossword roundup: Soup, a collie, fridge-elastic …",crosswords
364,2013-02-28,Crossword blog: The story of the puzzle - Woodchuck Puzzle,crosswords
365,2013-02-26,Crossword roundup: Made-up words,crosswords
366,2013-02-21,Crossword blog: Help solve the missing PG Wodehouse clues,crosswords
367,2013-02-18,Crossword roundup: loving the alien,crosswords
368,2013-02-15,"Annotated solutions for Prize 25,867",crosswords
369,2013-02-14,Cryptic crosswords for beginners: Foreign words,crosswords
370,2013-02-11,Crossword roundup: slops are cops,crosswords
371,2013-02-08,Crossword blog: the words that puzzle setters love,crosswords
372,2013-02-04,Long live English spelling,crosswords
373,2013-01-31,Crossword blog: Meet the Setter - Philistine,crosswords
374,2013-01-28,Crossword roundup: the first snowdrop,crosswords
375,2013-01-28,"Azed slip No 2,118",crosswords
376,2013-01-24,Crossword blog: Meet the letter H,crosswords
377,2013-01-21,"Crossword roundup: Super, man",crosswords
378,2013-01-18,"Rev John Graham, aka Araucaria: 'Crosswords are a way of life'",crosswords
379,2013-01-17,Cryptic crosswords for beginners: alternate letters,crosswords
380,2013-01-11,"Cryptic crossword No 25,842",crosswords
381,2013-01-10,Crossword blog: meet the setter - Audreus,crosswords
382,2013-01-07,Happy 2013!,crosswords
383,2013-01-07,"Crossword roundup: you say panino, I say paninis",crosswords
384,2013-01-04,"Annotated solutions for Prize 25,826",crosswords
385,2015-01-04,Genius crossword No 139,crosswords
386,2015-01-04,Annotated solutions for Genius 138,crosswords
387,2015-01-02,"Annotated solutions for Prize 26,448",crosswords
388,2014-12-30,Azed FAQ,crosswords
389,2014-12-22,Crossword roundup: the best cryptic clues at Christmas,crosswords
390,2014-12-20,"Prize Crossword No 26,448",crosswords
391,2014-12-16,"Annotated solutions for Prize 26,436",crosswords
392,2014-12-15,Crossword blog: are crosswords the clickbait of print publications?,crosswords
393,2014-12-09,"Annotated solutions for Prize 26,442",crosswords
394,2014-12-08,Genius Crossword No. 138,crosswords
395,2014-12-08,String Time,crosswords
396,2014-12-08,"Crossword roundup: an astonishing Lord Archer-themed tribute to Araucaria, and the best 3D puzzles",crosswords
397,2014-12-05,"Annotated solutions for Prize 26,430",crosswords
398,2014-12-01,Annotated solutions for Genius 137,crosswords
399,2014-11-28,"Annotated solutions for Prize 26,424",crosswords
400,2014-11-27,Araucaria’s final crossword: the handwritten solution,crosswords
401,2014-11-25,Araucaria’s final crossword: one last treat from the master,crosswords
402,2014-11-24,Crossword roundup: Baldrick found in Oxford,crosswords
403,2014-11-24,"Azed slip No 2,213",crosswords
404,2014-11-21,"Annotated solutions for Prize 26,418",crosswords
405,2014-11-17,Crossword blog: Alan Turing was no crossword fiend,crosswords
406,2014-11-14,"Annotated solutions for Prize 26,412",crosswords
407,2014-11-10,"Play it again, Sam",crosswords
408,2014-11-10,Crossword roundup: Johnny Middle-Earth,crosswords
409,2014-11-08,"Annotated solutions for Prize 26,406",crosswords
410,2014-11-03,Crossword blog: meet the setter – Picaroon,crosswords
411,2014-11-03,Annotated solutions for Genius 136,crosswords
412,2014-10-27,Crossword roundup: ghosts in the marketplace,crosswords
413,2014-10-27,"Azed slip No 2,209",crosswords
414,2014-10-24,"Annotated solutions for Prize 26,394",crosswords
415,2014-10-20,Crossword blog: watching a champion solver at work,crosswords
416,2014-10-17,"Annotated solutions for Prize 26,388",crosswords
417,2014-10-13,Crossword roundup: are gnomes necessarily gnomic?,crosswords
418,2014-10-10,"Annotated solution for Prize 26,382",crosswords
419,2014-10-10,Rule Britannia,crosswords
420,2014-10-06,Annotated solutions for Genius crossword 135,crosswords
421,2014-10-06,Crossword blog: clarifying without scarifying,crosswords
422,2014-10-03,"Annotated solutions for Prize 26,376",crosswords
423,2014-09-29,Crossword roundup: pantomime from highbrow to low,crosswords
424,2014-09-28,"Azed slip No 2,205",crosswords
425,2014-09-22,Crossword blog: an end to flying colours,crosswords
426,2014-09-15,"Crossword roundup: See ye efter, wag-at-the-wa’?",crosswords
427,2014-09-12,"Annotated solutions for Prize 26,358",crosswords
428,2014-09-08,Crossword blog: are crosswords Orwellian or Selfish?,crosswords
429,2014-09-07,"Azed crossword 2,205",crosswords
430,2014-09-06,"Annotated solutions for Prize 26,352",crosswords
431,2014-09-04,Alternative problems,crosswords
432,2014-08-31,Annotated solutions for Genius crossword 134,crosswords
433,2014-08-29,"Annotated solutions for Prize 26,346",crosswords
434,2014-08-24,"Annotated prize solutions for Prize 26,340",crosswords
435,2014-08-23,"Prize crossword 26,346",crosswords
436,2014-08-21,"Azed slip No 2,200",crosswords
437,2014-08-18,Crossword blog: where are the female setters?,crosswords
438,2014-08-15,"Annotated prize solutions for Prize 26,334",crosswords
439,2014-08-11,"Crossword roundup: Michael Gove out of office, but not off-grid",crosswords
440,2014-08-10,"Annotated solutions for Prize 26,328",crosswords
441,2014-08-08,Macca to the rescue,crosswords
442,2014-08-06,"Azed slip No. 2,196",crosswords
443,2014-08-05,"Cryptic crossword 26,330",crosswords
444,2014-08-04,Annotated solutions for Genius crossword 133,crosswords
445,2014-08-04,Devotees of Araucaria called to contribute to documentary,crosswords
446,2014-08-02,"Annotated solutions for Prize 26,322",crosswords
447,2014-08-01,Araucaria (John Graham) documentary,crosswords
448,2014-07-28,Crossword roundup: Sporting bullies and in-jokes,crosswords
449,2014-07-28,"Annotated solutions for Prize 26,316",crosswords
450,2014-07-21,Crossword blog: Weird Al and the 'rules' of cryptics,crosswords
451,2014-07-20,Azed 2198,crosswords
452,2014-07-17,"Annotated solutions for Prize 26,310",crosswords
453,2014-07-14,"Crossword roundup: from poll to polly, from Spam to spam",crosswords
454,2014-07-10,"Annotated solutions for Prize 26,304",crosswords
455,2014-07-09,"Koalas, drongos and numbats",crosswords
456,2014-07-07,Crossword blog: compiling a cryptic crossword app,crosswords
